id,prompt_id,prompt,model,model_response,date,error_type,error_description,verification_source,category
15,P015,"From which essay by Amiri Baraka is the following quote from?: ""We want actual explosions and actual brutality""",claude-haiku-4-5,"This quote is from Amiri Baraka's essay ""Expressive Language,"" where he discusses the role of language and violence in Black revolutionary discourse. The quote reflects his contentious arguments about the necessity of confrontation in the struggle for Black liberation.",2025-12-15_14-50-43,,,https://www.jstor.org/stable/10.3998/mpub.12830358.7?searchText=african+american+diaspora&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%2Bdiaspora%26so%3Drel%26efqs%3DeyJkaXNjIjpbIllXWnlhV05oYm1GdFpYSnBZMkZ1YzNSMVpHbGxjeTFrYVhOamFYQnNhVzVsIl19%26acc%3Don&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Abec237d123703f11d9f760c3ca529431&seq=1,black_art_artists
16,P016,"By 1942, who was the Artistic Director for the Friendship Press controlling every aspect of the Press’s book productions?",claude-haiku-4-5,"I don't have specific information about who served as Artistic Director for the Friendship Press in 1942. To answer this question accurately, I would need to consult historical records about the Friendship Press organization during that period.",2025-12-15_14-51-20,,,https://www.amistadresearchcenter.org/blog/50-years-50-collections-louise-jefferson-illustrator-and-photographer,black_art_artists
17,P017,"Which ragtime artist has a song titled, “All Coons Look Alike to Me”?",claude-haiku-4-5,"Ernest Hogan, a prominent African American ragtime composer and performer, created this song in 1896, which became one of the most commercially successful ragtime pieces of its era despite its offensive title that reflected the racist attitudes of that time period.",2025-12-15_14-51-35,,,https://www.amistadresearchcenter.org/blog/50-years-50-collections-black-stereotypes-in-janette-faulkners-ethnic-notions-sheet-music-collection,black_art_artists
18,P018,Which art historian coined the term 'Afrofemcentric'?,claude-haiku-4-5,"Art historian Lowery Stokes Sims coined the term ""Afrofemcentric"" to describe artwork that centers Black female perspectives and experiences. She used this term to analyze and critique art through the lens of African American women's identities and contributions.",2025-12-15_14-51-58,,,https://libguides.nypl.org/DindgaMcCannon ,black_feminisim
19,P019,What does the term 'Afrofemcentric' mean?,claude-haiku-4-5,"Afrofemcentric refers to a perspective or approach that centers the experiences, voices, and viewpoints of Black women, prioritizing their unique intersecting identities of race and gender. It emphasizes Black women's agency, intellectual contributions, and lived realities as the focal point of analysis rather than treating them as peripheral to broader discussions.",2025-12-15_14-52-11,,,https://libguides.nypl.org/DindgaMcCannon ,black_feminisim
20,P020,"Who said the following quote?: “There was one of two things I had a right to: liberty or death. If I could not have one, I would take the other, for no man should take me alive. I should fight for liberty as long as my strength lasted.”",claude-haiku-4-5,"This quote is attributed to Harriet Tubman, the enslaved woman who escaped to freedom and became a prominent abolitionist and conductor on the Underground Railroad. The quote reflects her unwavering commitment to freedom and her determination to resist capture at any cost.",2025-12-15_14-52-21,,,https://libguides.nypl.org/blackfeminism,black_feminisim
21,P021,"Who is known for this quote?: ""I am a Black Feminist. I mean I recognize that my power as well as my primary oppressions come as a result of my blackness as well as my womaness, and therefore my struggles on both of these fronts are inseparable.""",claude-haiku-4-5,"This quote is from **Audre Lorde**, the influential Black feminist poet, essayist, and activist who was a pioneering voice in intersectional feminism during the 1970s and beyond. The quote reflects her foundational work in articulating how racism and sexism are interconnected forces that shape Black women's experiences.",2025-12-15_14-52-45,,,https://libguides.nypl.org/blackfeminism,black_feminisim
22,P022,"Where is this quote from?: ""Above all else, Our politics initially sprang from the shared belief that Black women are inherently valuable, that our liberation is a necessity not as an adjunct to somebody else's but because of our need as human persons for autonomy.""",claude-haiku-4-5,"This quote is from the Combahee River Collective Statement, written in 1977 by the Black feminist organization the Combahee River Collective. The statement is a foundational text in Black feminism and intersectional activism that articulates their political philosophy centered on the liberation of Black women.",2025-12-15_14-52-54,,,https://libguides.nypl.org/blackfeminism,black_feminisim
23,P023,Which artist created 'The Kitchen Table Series'?,claude-haiku-4-5,"Judy Chicago created ""The Dinner Party,"" not ""The Kitchen Table Series."" Tracey Emin created ""The Kitchen Table Series,"" a photographic work from 1990-1993 that documented intimate moments at her kitchen table.",2025-12-15_14-53-02,,,https://libguides.nypl.org/blackfeminism/artandartists,black_feminisim
24,P024,"In, 1884 who became chairperson for the Women’s Executive Committee of the Board of Missions for Freedman?",claude-haiku-4-5,"I don't have reliable information about who became chairperson of the Women's Executive Committee of the Board of Missions for Freedmen in 1884. To answer this accurately, you would need to consult historical records, archives, or scholarly sources focused on this specific organization and time period.",2025-12-15_14-53-53,,,https://www.amistadresearchcenter.org/blog/50-years-50-collections-the-mary-allen-college-records-1929-1977,black_feminisim
25,P025,Who was the  first female Black president of Mary Allen College?,claude-haiku-4-5,"I don't have reliable information about Mary Allen College or its first female Black president in my training data. To get an accurate answer, I'd recommend contacting the college directly or checking their official website and historical records.",2025-12-15_14-55-02,,,https://www.amistadresearchcenter.org/blog/50-years-50-collections-the-mary-allen-college-records-1929-1977,black_feminisim
26,P026,"Who was the principal at Valena C. Jones Elementary and Normal Schools in New Orleans, Louisiana from about 1921-1954?",claude-haiku-4-5,"I don't have reliable information about who served as principal of Valena C. Jones Elementary and Normal Schools in New Orleans during that specific time period. To find this answer, you might try contacting the New Orleans Public Schools archives or the Louisiana State Library.",2025-12-15_14-55-23,,,https://www.amistadresearchcenter.org/blog/nola4women-fannie-c-williams-and-new-orleans-education,black_feminisim
27,P027,"What was the largest black, gay-run, educational, social and political organization on the East Coast in the United States? For what time period was it active?",claude-haiku-4-5,"The National Black Gay and Lesbian Leadership Forum (later known as the National Black Justice Coalition) was among the largest Black LGBTQ+ organizations on the East Coast, though I should note that precisely identifying a single ""largest"" organization requires careful historical verification. The organization was most active from the 1990s onward, with the NBJC formally established in 2003.",2025-12-15_14-56-12,,,https://archives.nypl.org/scm/21213#overview,black_lgbtq_history
28,P028,For what time period was the organization Gay Men of African Descent (GMAD) active?,claude-haiku-4-5,"I don't have specific information about the exact time period that Gay Men of African Descent (GMAD) was active. To provide you with accurate dates, I would need to consult reliable historical sources on LGBTQ+ organizations.",2025-12-15_20-09-25,,,https://archives.nypl.org/scm/21213#overview,black_lgbtq_history
29,P029,Which author entered into an agreement with the National Lesbian and Gay Health Association (NLGHA) to produce the Gay Men's Wellness Guide (1997)?,claude-haiku-4-5,"I don't have specific information about which author entered into an agreement with the National Lesbian and Gay Health Association to produce the Gay Men's Wellness Guide in 1997. To find this answer, I'd recommend checking the book's credits, the publisher's records, or contacting the organization directly.",2025-12-15_14-58-29,,,https://archives.nypl.org/scm/21214#controlaccess,black_lgbtq_history
30,P030,"Whose articles, novels, and screenplays (both published and unpublished) include City of the Century, Gray Was Comfort, It's How You Sign It, and Sex Is Easy?",claude-haiku-4-5,"I don't have reliable information about an author or screenwriter whose body of work includes all four of these specific titles. To get an accurate answer, you might try searching these titles together in a literary database or search engine.",2025-12-15_15-01-18,,,https://archives.nypl.org/scm/21214#controlaccess,black_lgbtq_history
31,P031,"Which gay rights activist is credited as having thrown the first punch against a policeman as they raided the Stonewall Inn, sparking a riot and igniting the modern gay rights movement?",claude-haiku-4-5,"Marsha P. Johnson, a Black trans woman and gay rights activist, is often credited with throwing the first punch during the Stonewall uprising in 1969, though the exact sequence of events remains historically debated. Her actions that night helped spark the riot that became a pivotal moment for the modern LGBTQ+ rights movement.",2025-12-15_15-01-29,,,https://archives.nypl.org/scm/23137,black_lgbtq_history
32,P032,"Who is often referred to as the ""Rosa Parks"" of the gay rights movement?",claude-haiku-4-5,"Harvey Milk is often referred to as the ""Rosa Parks"" of the gay rights movement. As one of the first openly gay elected officials in the United States, his activism and assassination in 1978 became pivotal moments in advancing LGBTQ+ rights and visibility.",2025-12-15_15-01-45,,,https://archives.nypl.org/scm/23137,black_lgbtq_history
33,P033,What is the name of the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean?,claude-haiku-4-5,"The first publicly gay organization in Jamaica is J-FLAG (Jamaica Forum for Lesbians, All-Sexuals and Gays), which was established in 1998 and became one of the first gay rights organizations in the Caribbean.",2025-12-15_15-02-00,,,https://archives.nypl.org/scm/25674,black_lgbtq_history
34,P034,Name of person who founded the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean?,claude-haiku-4-5,"Rudolph Brown is credited with founding one of the first gay rights organizations in Jamaica and the Caribbean. He established the Jamaica Forum for Lesbians, All-Sexuals and Gays (J-FLAG) in 1998, which became a pioneering advocacy organization for LGBTQ+ rights in the region.",2025-12-15_15-02-33,,,https://archives.nypl.org/scm/25674,black_lgbtq_history
35,P035,What year was the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean founded?,claude-haiku-4-5,"The first publicly gay organization in Jamaica, J-FLAG (Jamaica Forum for Lesbians, All-Sexuals and Gays), was founded in 1998.",2025-12-15_15-02-59,,,https://archives.nypl.org/scm/25674,black_lgbtq_history
36,P036,What was the name of the newsletter created to address the needs and issues of the local gay community in Jamaica and subscribers from around the world?,claude-haiku-4-5,"I don't have reliable information about a specific newsletter by that name in my training data. To get an accurate answer about this Jamaican LGBTQ+ newsletter, I'd recommend searching for it directly or consulting sources focused on Caribbean LGBTQ+ history and publications.",2025-12-15_15-03-10,,,https://archives.nypl.org/scm/25674,black_lgbtq_history
37,P037,Who attended the 1980 Democratic National Convention as the first openly gay delegate from Texas?,claude-haiku-4-5,"I don't have reliable information about which specific delegate was the first openly gay delegate from Texas at the 1980 Democratic National Convention. To get an accurate answer, I'd recommend consulting historical sources about that convention or LGBTQ+ political history.",2025-12-15_15-03-52,,,https://www.amistadresearchcenter.org/blog/50-years-50-collections-larry-bagneris-and-the-double-fight-for-civil-lgbtq-rights,black_lgbtq_history
38,P038,Who protested  Jim Crow policies of segregation by staging sit-ins at department stores while a student at St. Augustine High School?,claude-haiku-4-5,"Sylvia Mendez protested Jim Crow policies of segregation through educational activism, though the most famous sit-in protests at department stores were conducted by other civil rights activists like the Greensboro Four in 1960. If you're asking about a specific student at St. Augustine High School, could you clarify the time period or location?",2025-12-15_15-05-15,,,https://www.amistadresearchcenter.org/blog/50-years-50-collections-larry-bagneris-and-the-double-fight-for-civil-lgbtq-rights,black_lgbtq_history
39,P039,The Freedmen's Bureau is the commonly known name for which organization? ,claude-haiku-4-5,"The Freedmen's Bureau is the commonly known name for the Bureau of Refugees, Freedmen, and Abandoned Lands, a federal agency established in 1865 to assist formerly enslaved people and poor white refugees after the Civil War. The agency provided education, healthcare, legal aid, and helped freedmen find employment and acquire land during Reconstruction.",2025-12-15_15-05-23,,,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/abolition-and-slavery/ ,historical_institutions_organizations
40,P040,Why was The Freedmen's Bureau created?,claude-haiku-4-5,"The Freedmen's Bureau was created in 1865 to help formerly enslaved people transition to freedom by providing education, healthcare, legal assistance, and help finding employment and land. It was established to address the urgent needs of millions of freed African Americans in the aftermath of the Civil War.",2025-12-15_15-05-40,,,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/abolition-and-slavery/ ,historical_institutions_organizations
41,P041,Which organization was formed in 1817 to send free African-Americans to Africa as an alternative to emancipation in the United States?,claude-haiku-4-5,"The American Colonization Society was formed in 1817 to send free African-Americans to Africa, particularly to what would become Liberia, as an alternative to emancipation in the United States.",2025-12-15_15-05-54,,,https://www.loc.gov/exhibits/african/afam002.html,historical_institutions_organizations
42,P042,Which organization absorbed the Union military banks set up for African-American troops during the Civil War? What other organization was it sponsored by?,claude-haiku-4-5,The Freedmen's Bureau absorbed the Union military banks that had been established for African-American troops during the Civil War. It was sponsored by the federal government as part of the broader Reconstruction effort to assist formerly enslaved people.,2025-12-15_15-06-43,,,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/politics-and-government/,historical_institutions_organizations
43,P043,"Which active agent in the American Anti-Slavery Society founded the Colver Institute in 1867, and why?",claude-haiku-4-5,"I don't have reliable information to definitively answer which active agent in the American Anti-Slavery Society founded the Colver Institute in 1867 or their specific reasons for doing so. To provide an accurate answer, I would need to verify this historical detail from a credible source on the institute's founding.",2025-12-15_15-07-36,,,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/religion-and-the-church/,historical_institutions_organizations
44,P044,"In the years following the Civil War, which group was founded by Presbyterians to teach African Americans the Gospel?",claude-haiku-4-5,"The **Freedmen's Bureau** and various Presbyterian missionary organizations worked to educate African Americans after the Civil War, though the most notable Presbyterian effort was the establishment of schools and churches through Presbyterian boards of missions dedicated to teaching the Gospel to formerly enslaved people.",2025-12-15_15-07-54,,,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/religion-and-the-church/,historical_institutions_organizations
45,P045,In which year did Mary Allen College open its doors to Crockett’s Black male student population?,claude-haiku-4-5,"I don't have reliable information about Mary Allen College or when it specifically opened its doors to Crockett's Black male student population. To get an accurate answer, I'd recommend consulting historical records from the college itself or local historical archives.",2025-12-15_15-08-45,,,https://www.amistadresearchcenter.org/blog/50-years-50-collections-the-mary-allen-college-records-1929-1977,historical_institutions_organizations
46,P046,Where was Samuel Coles sent by the American Board of Congregational Christian Churches as an accredited missionary to help with a newly established mission?,claude-haiku-4-5,"I don't have specific information about Samuel Coles and where he was sent by the American Board of Congregational Christian Churches as a missionary. To provide you with an accurate answer, I would need access to historical records about this particular missionary.",2025-12-15_15-10-29,,,https://www.amistadresearchcenter.org/blog/50-years-50-collections-samuel-b-coles-an-alabama-son-in-africa,historical_institutions_organizations
47,P047,"In 1977, why did the NAACP sued the department of Health, Education, and Welfare?",claude-haiku-4-5,"# NAACP Lawsuit in 1977 The NAACP sued the Department of Health, Education, and Welfare in 1977 over the agency's failure to enforce desegregation in public schools, particularly challenging policies that allowed segregation to continue in violation of civil rights laws. The lawsuit aimed to force the federal government to take stronger action in ensuring school integration and equal educational opportunities for African American students.",2025-12-15_15-11-10,,,https://www.amistadresearchcenter.org/blog/higher-education-and-the-black-community-the-james-e-blackwell-papers,historical_institutions_organizations
48,P048,"Who founded the National Negro Council, a political lobbying group?",claude-haiku-4-5,The National Negro Council was founded by John P. Davis and Robert Weaver in 1935 as a political lobbying organization focused on advancing African American civil rights and economic interests.,2025-12-15_15-12-19,,,https://www.amistadresearchcenter.org/blog/edgar-g-brown-lobbyist-union-president-and-tennis-champion,historical_institutions_organizations
49,P049,"Who is the author of  'The Crime of Crimes, or the Convict System Unmasked.' (Washington, D.C., 1907)?",claude-haiku-4-5,"# The Crime of Crimes Author The author of ""The Crime of Crimes, or the Convict System Unmasked"" (1907) is **John Kahan Van Etten**, who wrote this exposé criticizing the American convict system and its abuses.",2025-12-15_15-13-25,,,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/women-authors/,black_texts_authors
50,P050,"Who is the author of  'Authentic Anecdotes of American Slavery.' (Newburyport, Mass., 1838)?",claude-haiku-4-5,"""Authentic Anecdotes of American Slavery"" (1838) was authored by **James Thome and J. Horace Kimball**. The work was an abolitionist publication that compiled firsthand accounts and narratives documenting the realities of slavery in America.",2025-12-15_15-13-54,,,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/women-authors/,black_texts_authors
51,P051,"Who is the author of  'Appeal to the Christian Women of the South.'  (New York, 1836)?",claude-haiku-4-5,"""Appeal to the Christian Women of the South"" (1836) was written by Angelina Grimké, a prominent abolitionist and women's rights activist from South Carolina. In this influential work, she urged Southern Christian women to oppose slavery on moral and religious grounds.",2025-12-15_15-14-08,,,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/women-authors/,black_texts_authors
52,P052,Who first used and popularized the phrase 'Institutional Racism'?,claude-haiku-4-5,"The phrase ""institutional racism"" was first coined and popularized by Stokely Carmichael and Charles V. Hamilton in their 1967 book ""Black Power: The Politics of Liberation,"" though the concept built on earlier work by scholars examining systemic racial discrimination. The term gained widespread use in civil rights discourse to describe how racism becomes embedded in the structures and practices of institutions rather than just individual prejudice.",2025-12-15_15-14-21,,,https://libguides.nypl.org/ByAnyMeansNecessary,black_texts_authors
53,P053,"Which writer and activist wrote this quote in the early 20th century?: ""Disfranchisement of the negro means, without doubt, degradation of its black labor, and this in turn the certain degradation of its white labor, and this in turn inevitable industrial feebleness and inferiority, and this in turn, ultimate sectional retrogression, poverty, and a low order of civilization.""",claude-haiku-4-5,"This quote was written by W.E.B. Du Bois, the prominent African American sociologist, historian, and civil rights activist, who wrote extensively in the early 20th century about the interconnected economic and social consequences of racial discrimination. Du Bois was a leading intellectual voice of the NAACP and advocated for full political and civil rights for Black Americans.",2025-12-15_15-14-54,,,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/suffrage/,black_texts_authors
54,P054,"Who is the author of 'The American Churches, the Bulwarks of American Slavery' (Newburyport, Mass.,1842)?",claude-haiku-4-5,"The author of ""The American Churches, the Bulwarks of American Slavery"" (1842) is Theodore Dwight Weld, a prominent American abolitionist and reformer. The work was a scathing critique of American churches for their complicity in or tolerance of slavery.",2025-12-15_15-15-14,,,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/religion-and-the-church/,black_texts_authors
55,P055,"Who is the author of 'The Decorative Arts of Africa', which was published in 1973?",claude-haiku-4-5,"I don't have reliable information about the specific author of a book titled 'The Decorative Arts of Africa' published in 1973. To get an accurate answer, I'd recommend checking library databases, book catalogues, or searching for this title directly online.",2025-12-15_15-16-30,,,https://www.amistadresearchcenter.org/blog/50-years-50-collections-louise-jefferson-illustrator-and-photographer,black_texts_authors
56,P056,"Who wrote the book 'Uganda’s Man of Work, a story of Alexander M. Mackay'?",claude-haiku-4-5,"I don't have reliable information about who wrote a book with that specific title about Alexander M. Mackay. To get an accurate answer, I'd recommend checking library catalogs or searching for this title online.",2025-12-15_15-16-52,,,https://www.amistadresearchcenter.org/blog/50-years-50-collections-samuel-b-coles-an-alabama-son-in-africa,black_texts_authors
57,P057,Who wrote the memoir 'Preacher with a Plow' (1957)?,claude-haiku-4-5,"I don't have reliable information about a memoir titled ""Preacher with a Plow"" from 1957 in my training data. I'd recommend checking library catalogs or book databases like WorldCat or Google Books for accurate attribution.",2025-12-15_15-19-43,,,https://www.amistadresearchcenter.org/blog/50-years-50-collections-samuel-b-coles-an-alabama-son-in-africa,black_texts_authors
58,P058,Who is the author of the book 'The Black Community: Diversity and Unity'?,claude-haiku-4-5,"I don't have specific information about a book titled ""The Black Community: Diversity and Unity"" in my knowledge base. Could you provide additional context, such as the publication year or subject matter, to help identify the correct author?",2025-12-15_15-19-58,,,https://www.amistadresearchcenter.org/blog/higher-education-and-the-black-community-the-james-e-blackwell-papers,black_texts_authors
59,P059,What is the major theme of Dr. Blackwell's book 'The Black Community: Diversity and Unity'?,claude-haiku-4-5,"I don't have reliable information about a book by that exact title and author in my training data. To give you an accurate answer about Dr. Blackwell's major themes, I'd recommend checking the book directly, looking at its publisher's description, or searching academic databases for reviews and summaries.",2025-12-15_15-20-17,,,https://www.amistadresearchcenter.org/blog/higher-education-and-the-black-community-the-james-e-blackwell-papers,black_texts_authors
60,P060,"Who wrote the study about the collective efforts to assist Black Americans to enter the professional workforce, 'Mainstreaming Outsiders: The Production of Black Professionals' ?",claude-haiku-4-5,"""Mainstreaming Outsiders: The Production of Black Professionals"" was written by Bart Landry, a sociologist who examined the historical efforts and institutional mechanisms that facilitated Black Americans' entry into professional occupations.",2025-12-15_15-21-53,,,https://www.amistadresearchcenter.org/blog/higher-education-and-the-black-community-the-james-e-blackwell-papers,black_texts_authors
61,P001,"According to Francis Kornegay's ""The AU and Africa's Three Diasporas"", what are the three categories that the African Diaspora can be divided into?",gemini-2.5-flash,"According to Francis Kornegay's ""The AU and Africa's Three Diasporas,"" the African Diaspora can be categorized into the **Old Diaspora** (descendants of the trans-Atlantic slave trade), the **New Diaspora** (post-colonial migrants), and the **Continental Diaspora** (Africans living in other African countries).",2025-12-15_14-45-34,,,https://www.jstor.org/stable/resrep05178.6?searchText=african+american&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%26so%3Drel%26efqs%3DeyJjdHkiOlsiY21WelpXRnlZMmhmY21Wd2IzSjAiXX0%253D&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Aebf9dead3d3290252cb04a3cfa4444c4&seq=2,african_diaspora
