prompt_id,prompt,category,source,source_link
P068,The racially-charged fight that led to the Scottsboro Boys case occurred on the Southern Railroad freight train. What was the precise date of this incident?,african_diaspora,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/scottsboro-boys
P069,"The collaboration between Jacob Lawrence and Lou Stovall, beginning in 1986, transformed 15 selections of the L'Ouverture paintings into prints. What specific printmaking technique did they use?",black_art_artists,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/strongmen-jacob-lawrence-and-lou-stovall
P070,"While attending Howard University, Lou Stovall produced posters for which specific civil rights organization?",historical_institutions_organizations,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/strongmen-jacob-lawrence-and-lou-stovall
P071,Which specific organization focused on women's rights did Pauli Murray co-found alongside Betty Friedan?,black_feminisim,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/pauli-murray-lgbtq-historical-figure
P072,Enslaved people who sought to practice their faith outside the observance of white enslavers often met in the woods under protective cover. What was the specific term used to refer to these secret religious meeting spots?,african_diaspora,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/historical-legacy-watch-night
P073,"The mantra ""black men loving black men is the revolutionary act"" was frequently referenced by Marlon Riggs in his film Tongues Untied. Which specific activist/author is credited with the aphorism?",black_lgbtq_history,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/posing-lgbtq-history
P074,"Just one month before dying of AIDS-related complications in December 1988, Joseph F. Beam gave a talk at which specific college?",black_texts_authors,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/posing-lgbtq-history
P075,"Rev. Albert Cleage wrote the book The Black Messiah. In this work, how did he specifically portray Jesus Christ?",black_texts_authors,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/religion-and-black-power
P076,"The Leesburg Stockade Girls were jailed for attempting to purchase tickets at the front entrance of which specific theater in Americus, Georgia?",african_diaspora,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/hidden-herstory-leesburg-stockade-girls
P077,"Which specific suffragist was among the first African American women to earn a college degree, having attended Oberlin College?",black_feminisim,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/five-you-should-know-african-american-suffragists
P078,Sojourner Truth sold cartes-de-visite to fund her activism. What specific slogan was associated with these cards?,black_feminisim,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/revolutionary-practice-black-feminisms
P079,"Cheyney University, established in Pennsylvania in 1837 and noted as the first HBCU, was established by which specific religious group?",historical_institutions_organizations,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/consecrated-ground-churches-and-founding-americas-historically-black-colleges-and
P080,"On May 2, 1963, the civil rights march for the Children's Crusade began after roughly a thousand students gathered enthusiastically at which specific Birmingham church? ",historical_institutions_organizations,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/hidden-herstory-leesburg-stockade-girls
P081,Jazz was originally seen as socially unacceptable and often referred to by what specific derogatory phrase?,african_diaspora,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/women-behind-music
P082,Which specific book by Sherrie Tucker is cited as noting the existence of all-girl bands of the 1940s and the complexities of racial performance during the era?,black_texts_authors,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/women-behind-music
P083,"What is the specific acronym that the nonverbal communication known as the ""dap"" stands for among Black service members in Vietnam?",african_diaspora,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/giving-dap
P084,What specific item was used to create the bracelet on the embroidered clenched fist symbol of the Mau Mau on the Vietnam Tour Jacket?,african_diaspora,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/giving-dap
P085,"The Buffalo Soldiers played a key role in defusing which ""little-known"" 1892 conflict in Wyoming? ",african_diaspora,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/proud-legacy-buffalo-soldiers
P086,"Johnnetta Betsch Cole’s great-grandfather, Abraham Lincoln Lewis, co-founded what specific company in Jacksonville, Florida? ",historical_institutions_organizations,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/six-black-women-who-shaped-education-america
P087,"What specific honor, awarded by the NAACP, did Mary McLeod Bethune receive in 1935?",historical_institutions_organizations,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/six-black-women-who-shaped-education-america
P088,"Before finding fame as an entertainer, Jimmie Daniels attended which specific school in the Bronx to study business?",historical_institutions_organizations,National Museum of African American History and Culture,https://nmaahc.si.edu/lgbtq/jimmie-daniels
P089," While working in Omaha, Nebraska, Whitney M. Young Jr.  successfully advocated for the addition of a non-segregation clause to what specific local regulation?",historical_institutions_organizations,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/whitney-m-young-jr
P090,"The National Urban League’s early philosophy of ""racial uplift"" was developed to counter which 20th-century belief system that depicted racial disparities as part of the ""natural order""?",historical_institutions_organizations,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/whitney-m-young-jr
P091,"What is the title of the autobiography in which Jackie Robinson describes his trial as a vent for the ""bigotry"" of individuals who considered him ""uppity""?",black_texts_authors,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/jackie-robinson-and-double-v-campaign
P092,The title “Queen Mother” was adopted by Audley Moore as a reference to the spiritual and political roles of women in which specific West African empire? ,african_diaspora,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/malcolm-x-women-who-shaped-man
P093,"After Malcolm X’s death, Dr. Betty Shabazz wrote her academic dissertation specifically about which organization?",black_texts_authors,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/malcolm-x-women-who-shaped-man
P094,"Anna Julia Cooper served as the seventh principal of which Washington, D.C. institution, which was later renamed Dunbar High School?",historical_institutions_organizations,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/anna-julia-cooper-educator-writer-and-intellectual
