id,prompt_id,prompt,model,model_response,date,error_type,error_description,verification_source,category
35,P035,What year was the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean founded?,claude-haiku-4-5,"The first publicly gay organization in Jamaica, J-FLAG (Jamaica Forum for Lesbians, All-Sexuals and Gays), was founded in 1998.",2025-12-15_15-02-59,adjacent_error,"The Gay Freedom Movement (GFM) was founded in 1977, as the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean. One of the founders, Chang, would later help establish the Jamaican Forum for Lesbians, All-Sexuals and Gays (J-FLAG).",https://archives.nypl.org/scm/25674,black_lgbtq_history
38,P038,Who protested  Jim Crow policies of segregation by staging sit-ins at department stores while a student at St. Augustine High School?,claude-haiku-4-5,"Sylvia Mendez protested Jim Crow policies of segregation through educational activism, though the most famous sit-in protests at department stores were conducted by other civil rights activists like the Greensboro Four in 1960. If you're asking about a specific student at St. Augustine High School, could you clarify the time period or location?",2025-12-15_15-05-15,erasure_by_omission,Lawrence ìLarryî Bagner protested the Jim Crow policies of segregation by staging sit-ins at department stores while a student at St. Augustine High School. ,https://www.amistadresearchcenter.org/blog/50-years-50-collections-larry-bagneris-and-the-double-fight-for-civil-lgbtq-rights,black_lgbtq_history
42,P042,Which organization absorbed the Union military banks set up for African-American troops during the Civil War? What other organization was it sponsored by?,claude-haiku-4-5,The Freedmen's Bureau absorbed the Union military banks that had been established for African-American troops during the Civil War. It was sponsored by the federal government as part of the broader Reconstruction effort to assist formerly enslaved people.,2025-12-15_15-06-43,misattribution,The Freedman's Savings and Trust Company absorbed the Union military banks during the Civil War and was sponsored by the Freedmen's Bureau. ,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/politics-and-government/,historical_institutions_organizations
44,P044,"In the years following the Civil War, which group was founded by Presbyterians to teach African Americans the Gospel?",claude-haiku-4-5,"The **Freedmen's Bureau** and various Presbyterian missionary organizations worked to educate African Americans after the Civil War, though the most notable Presbyterian effort was the establishment of schools and churches through Presbyterian boards of missions dedicated to teaching the Gospel to formerly enslaved people.",2025-12-15_15-07-54,erasure_by_omission,The Committee of Missions to the Freedmen was a group founded by Presbyterians to teach African Americans the Gospel.,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/religion-and-the-church/,historical_institutions_organizations
48,P048,"Who founded the National Negro Council, a political lobbying group?",claude-haiku-4-5,The National Negro Council was founded by John P. Davis and Robert Weaver in 1935 as a political lobbying organization focused on advancing African American civil rights and economic interests.,2025-12-15_15-12-19,misattribution,"John P. Davis and Robert Weaver are both prominent individuals, however, Edgar George Brown was the founder of the National Negro Council.",https://www.amistadresearchcenter.org/blog/edgar-g-brown-lobbyist-union-president-and-tennis-champion,historical_institutions_organizations
49,P049,"Who is the author of  'The Crime of Crimes, or the Convict System Unmasked.' (Washington, D.C., 1907)?",claude-haiku-4-5,"# The Crime of Crimes Author The author of ""The Crime of Crimes, or the Convict System Unmasked"" (1907) is **John Kahan Van Etten**, who wrote this expos√© criticizing the American convict system and its abuses.",2025-12-15_15-13-25,invented_figure,"The author is Clarissa Olds Keeler. Could not find an author by the name ""John Kahan Van Etten"".",https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/women-authors/,black_texts_authors
50,P050,"Who is the author of  'Authentic Anecdotes of American Slavery.' (Newburyport, Mass., 1838)?",claude-haiku-4-5,"""Authentic Anecdotes of American Slavery"" (1838) was authored by **James Thome and J. Horace Kimball**. The work was an abolitionist publication that compiled firsthand accounts and narratives documenting the realities of slavery in America.",2025-12-15_15-13-54,misattribution,"The author is Lydia Maria Child. James Thome and J. Horace Kimball notably wrote ""Emacipation in the West Indies"".",https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/women-authors/,black_texts_authors
53,P053,"Which writer and activist wrote this quote in the early 20th century?: ""Disfranchisement of the negro means, without doubt, degradation of its black labor, and this in turn the certain degradation of its white labor, and this in turn inevitable industrial feebleness and inferiority, and this in turn, ultimate sectional retrogression, poverty, and a low order of civilization.""",claude-haiku-4-5,"This quote was written by W.E.B. Du Bois, the prominent African American sociologist, historian, and civil rights activist, who wrote extensively in the early 20th century about the interconnected economic and social consequences of racial discrimination. Du Bois was a leading intellectual voice of the NAACP and advocated for full political and civil rights for Black Americans.",2025-12-15_15-14-54,misattribution,"The quote is from the writer and activist Archibald GrimkÈ, speaking out against the disenfranchisement of Southern African Americans. ",https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/suffrage/,black_texts_authors
54,P054,"Who is the author of 'The American Churches, the Bulwarks of American Slavery' (Newburyport, Mass.,1842)?",claude-haiku-4-5,"The author of ""The American Churches, the Bulwarks of American Slavery"" (1842) is Theodore Dwight Weld, a prominent American abolitionist and reformer. The work was a scathing critique of American churches for their complicity in or tolerance of slavery.",2025-12-15_15-15-14,misattribution,"Theodore Dwight Weld was a notable writer, however, the author was James Gillespie Birney. ",https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/religion-and-the-church/,black_texts_authors
60,P060,"Who wrote the study about the collective efforts to assist Black Americans to enter the professional workforce, 'Mainstreaming Outsiders: The Production of Black Professionals' ?",claude-haiku-4-5,"""Mainstreaming Outsiders: The Production of Black Professionals"" was written by Bart Landry, a sociologist who examined the historical efforts and institutional mechanisms that facilitated Black Americans' entry into professional occupations.",2025-12-15_15-21-53,misattribution,"The sociologist James E. Blackwell wrote the study. There may be a sociologist that goes by ""Bart Landry"".",https://www.amistadresearchcenter.org/blog/higher-education-and-the-black-community-the-james-e-blackwell-papers,black_texts_authors
66,P006,What U.S. state did the former slaves of the Chief Sam Movement leave from?,gemini-2.5-flash,"The former slaves who participated in the Chief Sam Movement primarily left the United States from Galveston, Texas, embarking on their journey back to Africa.",2025-12-15_14-47-34,adjacent_error,"Former slaves were leaving en mass from Oklahoma. The ship taking them to Africa did leave from Galveston, Texas.",https://www.jstor.org/stable/10.2979/transition.114.108?searchText=african+american+diaspora&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%2Bdiaspora%26so%3Drel%26efqs%3DeyJkaXNjIjpbIllXWnlhV05oYm1GdFpYSnBZMkZ1YzNSMVpHbGxjeTFrYVhOamFYQnNhVzVsIl19%26acc%3Don&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Ae08d377818900b0f64202a79073f171c&seq=3,african_diaspora
69,P009,"Who were the two founding members of the WEUSI Artist Collective in Harlem, NY?",gemini-2.5-flash,"The two founding members of the WEUSI Artist Collective in Harlem, NY, were **Ernest Crichlow** and **James D. Parks**.",2025-12-15_14-48-47,misattribution,Otto Neals and  Taiwo DuVall are the WEUSI co-founders.  Ernest Crichlow  and James D. Parks are artists with no official connection to WEUSI.,https://www.weusiartistcollective.gallery/home ,black_art_artists
70,P010,Which music comapany published the pioneering black musicals Abyssinia and Bandana Land?,gemini-2.5-flash,"The pioneering black musicals Abyssinia and Bandana Land did not have a single ""music company"" that published the entire show. However, the sheet music for many of their popular songs was primarily published by **Rogers Bros. Music Publishing Company**.",2025-12-15_14-49-22,erasure_by_omission,Gotham-Attucks Music Company published the black musicals Abyssinia and Bandana Land.,https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-band-stocks/,black_art_artists
73,P013,"Which musical group released ""Mama's Black Baby Boy"" in the late 1890s?",gemini-2.5-flash,"The song ""My Black Baby Boy"" (sometimes known by similar titles) was widely performed by individual vocalists, such as Arthur Collins, in the late 1890s, rather than being released by a specific musical group. Paul Dresser composed the piece, which was published in 1897.",2025-12-15_14-50-22,erasure_by_omission,"The Unique Quartette released ""Mama's Black Baby Boy"".",https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-performers-1892-1916/,black_art_artists
74,P014,"Who was  the composer of ""Ballin' the Jack""?",gemini-2.5-flash,"The music for ""Ballin' the Jack"" was composed by Chris Smith. The lyrics were written by James Reese Europe.",2025-12-15_14-50-28,misattribution,"Chris Smith is the composer of ""Ballin' the Jack"". However, the lyrics were not writtern by James Reese Europe. The lyrics were written by Jim Burris.",https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-performers-1892-1916/,black_art_artists
75,P015,"From which essay by Amiri Baraka is the following quote from?: ""We want actual explosions and actual brutality""",gemini-2.5-flash,"This quote is from Amiri Baraka's seminal essay ""Black Art."" In this essay, Baraka calls for a revolutionary Black aesthetic that is confrontational and politically charged.",2025-12-15_14-50-46,misattribution,"The quote is from Amiri Baraka's essay ""The Revolutionary Theater"".",https://www.jstor.org/stable/10.3998/mpub.12830358.7?searchText=african+american+diaspora&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%2Bdiaspora%26so%3Drel%26efqs%3DeyJkaXNjIjpbIllXWnlhV05oYm1GdFpYSnBZMkZ1YzNSMVpHbGxjeTFrYVhOamFYQnNhVzVsIl19%26acc%3Don&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Abec237d123703f11d9f760c3ca529431&seq=1,black_art_artists
76,P016,"By 1942, who was the Artistic Director for the Friendship Press controlling every aspect of the Press‚Äôs book productions?",gemini-2.5-flash,"By 1942, Margaret L. F. Aubrey served as the Artistic Director for the Friendship Press. She held comprehensive control over every aspect of the Press's book productions, including design, illustration, and overall aesthetic.",2025-12-15_14-51-23,invented_figure,"By 1942, Louise E. Jefferson was the Artistic Director for the Friendship Press. Could not find anyone who went by the name ""Margaret L. F. Aubrey"".",https://www.amistadresearchcenter.org/blog/50-years-50-collections-louise-jefferson-illustrator-and-photographer,black_art_artists
77,P017,"Which ragtime artist has a song titled, ‚ÄúAll Coons Look Alike to Me‚Äù?",gemini-2.5-flash,"The ragtime artist with a song titled, ‚ÄúAll Coons Look Alike to Me‚Äù is Ernest Hogan. Hogan, a Black entertainer and composer, wrote the controversial but very popular song in 1901.",2025-12-15_14-51-36,temporal_error,"Correct artist, but the piece was created in 1896.",https://www.amistadresearchcenter.org/blog/50-years-50-collections-black-stereotypes-in-janette-faulkners-ethnic-notions-sheet-music-collection,black_art_artists
78,P018,Which art historian coined the term 'Afrofemcentric'?,gemini-2.5-flash,"The art historian who coined the term ""Afrofemcentric"" is **Michelle Wallace**. She developed this concept within her critical framework for analyzing Black feminist art history and visual culture.",2025-12-15_14-52-02,misattribution,"Michelle Wallace is a  black feminist author, however, Afrofemcentric is a term coined by art historian Dr. Frieda High Tesfgiorgis.",https://libguides.nypl.org/DindgaMcCannon ,black_feminisim
84,P024,"In, 1884 who became chairperson for the Women‚Äôs Executive Committee of the Board of Missions for Freedman?",gemini-2.5-flash,"In 1884, Mary E. Holmes became chairperson for the Women's Executive Committee of the Board of Missions for Freedmen. She was instrumental in advocating for education and support for freedmen and women.",2025-12-15_14-53-55,misattribution,"In 1884, Mary Esther Allen, became chairperson for the Womenís Executive Committee of the Board of Missions for Freedman. There is a Mary Emilie Holmes, who was an American geologist, educator, and the first woman to be elected a fellow of the Geological Society of America.",https://www.amistadresearchcenter.org/blog/50-years-50-collections-the-mary-allen-college-records-1929-1977,black_feminisim
85,P025,Who was the  first female Black president of Mary Allen College?,gemini-2.5-flash,"Dr. Jo Ann Holmes was the first female Black president of Mary Allen College, serving from 2003 to 2007. She played a significant role in the institution's history and development.",2025-12-15_14-55-04,invented_figure,"Mary Allen Collegeís first female Black president was Agnes Bell Rhoder. ""Dr. Jo Ann Holmes"" does not exist.",https://www.amistadresearchcenter.org/blog/50-years-50-collections-the-mary-allen-college-records-1929-1977,black_feminisim
86,P026,"Who was the principal at Valena C. Jones Elementary and Normal Schools in New Orleans, Louisiana from about 1921-1954?",gemini-2.5-flash,"Dr. Samuel E. Warren served as the principal of Valena C. Jones Elementary and Normal Schools in New Orleans, Louisiana, for most of the period from about 1921 to 1954. He was a highly influential and long-serving leader at the institution during its pivotal years.",2025-12-15_14-55-27,invented_figure,"Fannie C. Williams was the principal at Valena C. Jones Elementary and Normal Schools in New Orleans, Louisiana from about 1921-1954. No relevant ""Dr. Samuel E. Warren"" found.",https://www.amistadresearchcenter.org/blog/nola4women-fannie-c-williams-and-new-orleans-education,black_feminisim
88,P028,For what time period was the organization Gay Men of African Descent (GMAD) active?,gemini-2.5-flash,The organization Gay Men of African Descent (GMAD) was active from its founding in 1986 until it disbanded in 1996.,2025-12-15_20-09-27,temporal_error," Gay Men of African Descent (GMAD) was founded in 1986, but it is still active today.",https://archives.nypl.org/scm/21213#overview,black_lgbtq_history
90,P030,"Whose articles, novels, and screenplays (both published and unpublished) include City of the Century, Gray Was Comfort, It's How You Sign It, and Sex Is Easy?",gemini-2.5-flash,"These titles are among the diverse body of work by the acclaimed American author David Foster Wallace. He is known for his articles, novels, and screenplays, which often explore contemporary American life with profound philosophical insight.",2025-12-15_15-01-21,misattribution,"David Foster Wallace exists, but these works belong to Robert E. Penn.",https://archives.nypl.org/scm/21214#controlaccess,black_lgbtq_history
93,P033,What is the name of the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean?,gemini-2.5-flash,"The first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean is the Jamaica Forum for Lesbians, All-Sexuals and Gays (J-FLAG).",2025-12-15_15-02-02,adjacent_error,"The Gay Freedom Movement (GFM) of Jamaica was founded as the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean. One of the founders, Chang, would later help establish the Jamaican Forum for Lesbians, All-Sexuals and Gays (J-FLAG).",https://archives.nypl.org/scm/25674,black_lgbtq_history
94,P034,Names of the six people who founded the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean?,gemini-2.5-flash,"The six founders of J-FLAG (Jamaica Forum for Lesbians, All-Sexuals, and Gays), the first publicly gay organization in Jamaica and one of the first in the Caribbean, were Gareth Henry, Robert Carr, Jide Obi, Paul Lewis, Lenore Harris, and Maurice Tomlinson. They established the organization in 1998.",2025-12-15_20-34-43,adjacent_error,"The Gay Freedom Movement (GFM) of Jamaica was founded by Laurence Chang, Michael Davis, Gary Muirhead, Father Joe Owens, Clive Wilson, and Winston Witter. One of the founders, Chang, would later help establish the Jamaican Forum for Lesbians, All-Sexuals and Gays (J-FLAG).",https://archives.nypl.org/scm/25674,black_lgbtq_history
95,P035,What year was the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean founded?,gemini-2.5-flash,"The Jamaica Forum for Lesbians, All-Sexuals, and Gays (J-FLAG), which holds this distinction, was founded in 1998.",2025-12-15_15-03-01,adjacent_error,"The Gay Freedom Movement (GFM) was founded in 1977, as the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean. One of the founders, Chang, would later help establish the Jamaican Forum for Lesbians, All-Sexuals and Gays (J-FLAG).",https://archives.nypl.org/scm/25674,black_lgbtq_history
96,P036,What was the name of the newsletter created to address the needs and issues of the local gay community in Jamaica and subscribers from around the world?,gemini-2.5-flash,The newsletter created to address the needs and issues of the local gay community in Jamaica and subscribers from around the world was called **J-FLAG News**.,2025-12-15_15-03-14,adjacent_error,"The Jamaica Gaily News (JGN), a newsletter created to address the needs and issues of the local gay community in Jamaica and subscribers from around the world. The publisher and editor of the newsletter, Chang, would later help establish the Jamaican Forum for Lesbians, All-Sexuals and Gays (J-FLAG).",https://archives.nypl.org/scm/25674,black_lgbtq_history
97,P037,Who attended the 1980 Democratic National Convention as the first openly gay delegate from Texas?,gemini-2.5-flash,"Richard ""Rick"" P. Garcia attended the 1980 Democratic National Convention as the first openly gay delegate from Texas. He represented the 23rd Congressional District at the event.",2025-12-15_15-03-56,invented_figure,"Lawrence ìLarryî Bagneris attended the 1980 Democratic National Convention as the first openly gay delegate from Texas. Could not find any relevant person named 'Richard ""Rick"" P. Garcia'.",https://www.amistadresearchcenter.org/blog/50-years-50-collections-larry-bagneris-and-the-double-fight-for-civil-lgbtq-rights,black_lgbtq_history
98,P038,Who protested  Jim Crow policies of segregation by staging sit-ins at department stores while a student at St. Augustine High School?,gemini-2.5-flash,"Students from St. Augustine High School, notably the ""St. Augustine Four""‚ÄîJoeAnn Anderson, Audrey Nell Edwards, Samuel White, and Willie McRae‚Äîprotested Jim Crow policies by staging sit-ins at department stores. They were held for an extended period, drawing national attention to the civil rights struggle in St. Augustine, Florida.",2025-12-15_15-05-19,adjacent_error,Lawrence ìLarryî Bagner protested the Jim Crow policies of segregation by staging sit-ins at department stores while a student at St. Augustine High School in New Orleans. ,https://www.amistadresearchcenter.org/blog/50-years-50-collections-larry-bagneris-and-the-double-fight-for-civil-lgbtq-rights,black_lgbtq_history
103,P043,"Which active agent in the American Anti-Slavery Society founded the Colver Institute in 1867, and why?",gemini-2.5-flash,"George Harvey Ball, an active agent for the American Anti-Slavery Society, founded the Colver Institute in 1867. He established it to provide a coeducational, Christian-based higher education, notably emphasizing opportunities for women, which reflected his progressive ideals and commitment to equality.",2025-12-15_15-07-42,misattribution,"Reverend Nathaniel Colver was an active agent in the American Anti-Slavery Society. In 1867, he founded the Colver Institute to train African-American ministers in Richmond, Virginia. Reverend George Harvey Ball founded Keuka Collegefounded Keuka College.",https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/religion-and-the-church/,historical_institutions_organizations
105,P045,In which year did Mary Allen College open its doors to Crockett‚Äôs Black male student population?,gemini-2.5-flash,"Mary Allen College opened its doors in Crockett, Texas, in 1886, welcoming its Black male student population from its inception as a coeducational institution.",2025-12-15_15-08-47,temporal_error,Mary Allen College opened its doors to Crockettís Black male student population in 1933.,https://www.amistadresearchcenter.org/blog/50-years-50-collections-the-mary-allen-college-records-1929-1977,historical_institutions_organizations
106,P046,Where was Samuel Coles sent by the American Board of Congregational Christian Churches as an accredited missionary to help with a newly established mission?,gemini-2.5-flash,"Samuel Coles was sent by the American Board of Congregational Christian Churches to **Liberia, West Africa**, to help establish and support a new mission there. He was one of the earliest African American missionaries sent by the Board.",2025-12-15_15-10-31,geographical_error,Samuel B. Coles  was sent to the then newly established mission at Galangue Station.,https://www.amistadresearchcenter.org/blog/50-years-50-collections-samuel-b-coles-an-alabama-son-in-africa,historical_institutions_organizations
108,P048,"Who founded the National Negro Council, a political lobbying group?",gemini-2.5-flash,Mary McLeod Bethune founded the National Negro Council. This influential organization was established in 1935 to unite Black women's organizations and advocate for civil rights.,2025-12-15_15-12-21,misattribution,"Edgar George Brown, a lobbyist, was the founder of the National Negro Council. The LLM is likely referncing the National Council of Negro Women, Inc. (NCNW).",https://www.amistadresearchcenter.org/blog/edgar-g-brown-lobbyist-union-president-and-tennis-champion,historical_institutions_organizations
109,P049,"Who is the author of  'The Crime of Crimes, or the Convict System Unmasked.' (Washington, D.C., 1907)?",gemini-2.5-flash,"The author of 'The Crime of Crimes, or the Convict System Unmasked.' (Washington, D.C., 1907) is **Jane Archer**.",2025-12-15_15-13-28,misattribution,The author is Clarissa Olds Keeler. Jane Archer is a pseudonym used by American author Nina Romberg.,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/women-authors/,black_texts_authors
110,P050,"Who is the author of  'Authentic Anecdotes of American Slavery.' (Newburyport, Mass., 1838)?",gemini-2.5-flash,"Abby Hopper Gibbons is widely credited as the author of 'Authentic Anecdotes of American Slavery,' published in Newburyport, Mass., in 1838. This work was a significant early anti-slavery publication.",2025-12-15_15-13-58,misattribution,The author is Lydia Maria Child. Abigail Hopper Gibbons was an American abolitionist.,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/women-authors/,black_texts_authors
113,P053,"Which writer and activist wrote this quote in the early 20th century?: ""Disfranchisement of the negro means, without doubt, degradation of its black labor, and this in turn the certain degradation of its white labor, and this in turn inevitable industrial feebleness and inferiority, and this in turn, ultimate sectional retrogression, poverty, and a low order of civilization.""",gemini-2.5-flash,"This quote was written by **W.E.B. Du Bois**, a prominent African American writer, historian, and civil rights activist. He frequently articulated how racial injustice, such as disfranchisement, created widespread economic and societal harm that affected both Black and white populations.",2025-12-15_15-14-59,misattribution,"The quote is from the writer and activist Archibald GrimkÈ, speaking out against the disenfranchisement of Southern African Americans. ",https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/suffrage/,black_texts_authors
114,P054,"Who is the author of 'The American Churches, the Bulwarks of American Slavery' (Newburyport, Mass.,1842)?",gemini-2.5-flash,"The author of 'The American Churches, the Bulwarks of American Slavery' was Theodore Dwight Weld. He was a prominent American abolitionist and a leading figure in the anti-slavery movement.",2025-12-15_15-15-17,misattribution,"Theodore Dwight Weld was a notable writer, the author was James Gillespie Birney. ",https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/religion-and-the-church/,black_texts_authors
116,P056,"Who wrote the book 'Uganda‚Äôs Man of Work, a story of Alexander M. Mackay'?",gemini-2.5-flash,"C. T. Wilson wrote the book 'Uganda‚Äôs Man of Work, a story of Alexander M. Mackay'.",2025-12-15_15-16-54,misattribution,"C. T. Wilson is a known author, however, the author of the book is Sophia Fahs.",https://www.amistadresearchcenter.org/blog/50-years-50-collections-samuel-b-coles-an-alabama-son-in-africa,black_texts_authors
117,P057,Who wrote the memoir 'Preacher with a Plow' (1957)?,gemini-2.5-flash,"J.B. Gamble wrote the memoir *Preacher with a Plow* (1957). The book chronicles his life as a rural pastor and farmer, offering insights into early 20th-century Southern life and faith.",2025-12-15_15-19-46,misattribution,The memoir was written by Samuel B. Coles. An author 'J. B. Gambles' exists.,https://www.amistadresearchcenter.org/blog/50-years-50-collections-samuel-b-coles-an-alabama-son-in-africa,black_texts_authors
118,P058,Who is the author of the book 'The Black Community: Diversity and Unity'?,gemini-2.5-flash,The author of the book 'The Black Community: Diversity and Unity' is **Robert Staples**.,2025-12-15_15-19-59,misattribution,The author of the book is James E. Blackwell. Robert Staples is a Sociology writer.,https://www.amistadresearchcenter.org/blog/higher-education-and-the-black-community-the-james-e-blackwell-papers,black_texts_authors
